Country Name,Country Code,Time,Time Code,Control of Corruption: Percentile Rank [CC.PER.RNK],Government Effectiveness: Percentile Rank [GE.PER.RNK],Political Stability and Absence of Violence/Terrorism: Percentile Rank [PV.PER.RNK],Regulatory Quality: Percentile Rank [RQ.PER.RNK],Rule of Law: Percentile Rank [RL.PER.RNK],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Sweden,SWE,2012,YR2012,99.052131652832,98.5782012939453,90.0473937988281,99.052131652832,99.06103515625,99.530517578125
Sweden,SWE,2013,YR2013,98.5782012939453,97.1563949584961,90.0473937988281,99.052131652832,99.06103515625,99.06103515625
Sweden,SWE,2014,YR2014,97.5961532592773,94.2307662963867,88.0952377319336,96.6346130371094,97.5961532592773,99.5073928833008
Sweden,SWE,2015,YR2015,98.0952377319336,93.3333358764648,79.523811340332,97.1428604125977,99.0476226806641,99.5073928833008
Sweden,SWE,2016,YR2016,98.0952377319336,94.2857131958008,87.1428604125977,97.1428604125977,99.0476226806641,99.5073928833008
Sweden,SWE,2017,YR2017,98.0952377319336,94.2857131958008,80.476188659668,95.7142868041992,98.0952377319336,99.5073928833008
Sweden,SWE,2018,YR2018,98.0952377319336,94.2857131958008,79.2452850341797,97.6190490722656,97.1428604125977,98.0582504272461
Sweden,SWE,2019,YR2019,98.0952377319336,94.7619018554688,82.5471725463867,96.6666641235352,96.6666641235352,99.0338134765625
Sweden,SWE,2020,YR2020,98.0952377319336,94.7619018554688,81.6037750244141,95.2380981445313,96.6666641235352,97.101448059082
Sweden,SWE,2021,YR2021,97.6190490722656,95.2380981445313,84.4339599609375,96.6666641235352,95.2380981445313,97.101448059082
Sweden,SWE,2022,YR2022,97.6415100097656,94.8113174438477,80.1886825561523,96.2264175415039,93.8679275512695,96.6183547973633
Estonia,EST,1996,YR1996,69.8924713134766,71.5847015380859,72.8723373413086,85.8695678710938,66.331657409668,74.5
Estonia,EST,1998,YR1998,73.2620315551758,69.9453582763672,68.6170196533203,86.9565200805664,66,78.1094512939453
Estonia,EST,2000,YR2000,77.6595764160156,75.9562835693359,77.7777786254883,89.1304321289063,68.1592025756836,77.1144256591797
Estonia,EST,2002,YR2002,76.1904754638672,73.5135116577148,79.8941802978516,87.0270233154297,71.1442794799805,79.6019897460938
Estonia,EST,2003,YR2003,80.9523773193359,80,77.3869323730469,84.8648681640625,71.1442794799805,82.5870666503906
Estonia,EST,2004,YR2004,82.7586212158203,80.0995025634766,71.3592224121094,86.5671615600586,76.9230804443359,83.6538467407227
Estonia,EST,2005,YR2005,80.9756088256836,78.4313735961914,65.5339813232422,85.7843170166016,80.3827743530273,80.7692337036133
Estonia,EST,2006,YR2006,81.4634170532227,83.9024353027344,69.0821228027344,88.2352905273438,87.5598068237305,84.6153869628906
Estonia,EST,2007,YR2007,78.6407775878906,82.0388336181641,68.5990371704102,87.3786392211914,85.6459350585938,84.1346130371094
Estonia,EST,2008,YR2008,80.0970840454102,84.4660186767578,65.8653869628906,89.3203887939453,85.5769195556641,85.5769195556641
Estonia,EST,2009,YR2009,80.3827743530273,78.9473648071289,64.4549789428711,89.4736862182617,84.3601913452148,83.8862533569336
Estonia,EST,2010,YR2010,80.476188659668,82.2966537475586,67.7725143432617,88.5167465209961,85.3080596923828,83.4123229980469
Estonia,EST,2011,YR2011,80.568717956543,81.5165863037109,67.2985763549805,90.9952621459961,85.9154891967773,87.3239440917969
Estonia,EST,2012,YR2012,81.5165863037109,77.2511825561523,67.2985763549805,90.9952621459961,85.9154891967773,85.9154891967773
Estonia,EST,2013,YR2013,82.9383850097656,77.7251205444336,68.2464447021484,90.9952621459961,86.3849792480469,85.9154891967773
Estonia,EST,2014,YR2014,87.9807662963867,80.288459777832,72.8571395874023,93.2692337036133,87.0192337036133,88.1773376464844
Estonia,EST,2015,YR2015,88.5714263916016,81.9047622680664,65.2380981445313,93.3333358764648,87.1428604125977,87.1921157836914
Estonia,EST,2016,YR2016,88.0952377319336,81.9047622680664,68.0952377319336,93.3333358764648,85.7142868041992,89.1625595092773
Estonia,EST,2017,YR2017,86.6666641235352,82.8571395874023,68.5714263916016,93.3333358764648,85.7142868041992,89.6551742553711
Estonia,EST,2018,YR2018,90,83.3333358764648,65.0943374633789,91.9047622680664,85.7142868041992,88.8349533081055
Estonia,EST,2019,YR2019,90.9523773193359,84.7619018554688,67.4528274536133,92.8571395874023,86.1904754638672,87.4396133422852
Estonia,EST,2020,YR2020,92.3809509277344,87.6190490722656,70.7547149658203,92.8571395874023,88.5714263916016,87.9227066040039
Estonia,EST,2021,YR2021,90,88.5714263916016,70.7547149658203,92.8571395874023,88.0952377319336,88.4057998657227
Estonia,EST,2022,YR2022,91.0377349853516,89.6226425170898,71.698112487793,92.9245300292969,89.6226425170898,87.9227066040039
Finland,FIN,1996,YR1996,99.4623641967773,92.349723815918,97.3404235839844,94.5652160644531,98.9949722290039,95
Finland,FIN,1998,YR1998,100,98.3606567382813,98.9361724853516,97.2826080322266,100,95.0248718261719
Finland,FIN,2000,YR2000,100,99.4535522460938,99.4709014892578,97.2826080322266,100,99.5024871826172
Finland,FIN,2002,YR2002,100,100,100,98.3783798217773,99.5024871826172,99.5024871826172
Finland,FIN,2003,YR2003,100,100,100,99.4594573974609,100,99.0049743652344
Finland,FIN,2004,YR2004,100,99.0049743652344,100,99.0049743652344,99.5192337036133,99.5192337036133
Finland,FIN,2005,YR2005,100,100,100,99.0196075439453,100,99.5192337036133
Finland,FIN,2006,YR2006,99.5121917724609,99.0243911743164,100,94.6078414916992,99.0430603027344,97.1153869628906
Finland,FIN,2007,YR2007,99.5145645141602,97.5728149414063,100,93.2038803100586,98.5645904541016,96.6346130371094
